stage_of_charge,voltage
0.0,1.0
1.0101010101010102,1.0103755399590622
2.0202020202020203,1.0207341004402528
3.0303030303030303,1.0310587019657007
4.040404040404041,1.041332365057534
5.050505050505051,1.0515381102378814
6.0606060606060606,1.0616589580288713
7.070707070707071,1.0716779289526324
8.080808080808081,1.081578043531293
9.090909090909092,1.0913423222869818
10.101010101010102,1.100953782109102
11.111111111111112,1.1103906192607556
12.121212121212121,1.119616706169693
13.131313131313131,1.1285932670070171
14.141414141414142,1.1372815259438298
15.151515151515152,1.1456427071512332
16.161616161616163,1.1536380348003292
17.171717171717173,1.1612287330622195
18.181818181818183,1.1683760261080065
19.191919191919194,1.1750411381087917
20.202020202020204,1.1811853772395673
21.212121212121215,1.186787860499817
22.222222222222225,1.1918674387285804
23.232323232323235,1.1964483390137994
24.242424242424242,1.2005547884434176
25.252525252525253,1.2042110141053772
26.262626262626263,1.2074412430876214
27.272727272727273,1.2102697024780924
28.282828282828284,1.2127206193647329
29.292929292929294,1.2148182208354863
30.303030303030305,1.2165867339782943
31.313131313131315,1.2180503858811005
32.323232323232325,1.2192334036318466
33.333333333333336,1.2201600143184763
34.343434343434346,1.220854445028932
35.35353535353536,1.2213409228511563
36.36363636363637,1.2216436748730921
37.37373737373738,1.2217869281826816
38.38383838383839,1.2217949098678684
39.3939393939394,1.221691847016594
40.40404040404041,1.2215019667168023
41.41414141414142,1.2212494960564353
42.42424242424243,1.220958662123436
43.43434343434344,1.220653692005747
44.44444444444445,1.220358812791311
45.45454545454546,1.2200982515680705
46.46464646464647,1.2198962354239684
47.47474747474748,1.2197769914469478
48.484848484848484,1.219764746724951
49.494949494949495,1.2198837283459207
50.505050505050505,1.2201576490033206
51.515151515151516,1.2205983903175999
52.525252525252526,1.2212060028361933
53.535353535353536,1.2219800227120556
54.54545454545455,1.2229199860981426
55.55555555555556,1.22402542914741
56.56565656565657,1.2252958880128129
57.57575757575758,1.2267308988473067
58.58585858585859,1.2283299978038467
59.5959595959596,1.2300927210353887
60.60606060606061,1.232018604694888
61.61616161616162,1.2341071849353002
62.62626262626263,1.2363579979095805
63.63636363636364,1.2387705797706843
64.64646464646465,1.2413444666715676
65.65656565656566,1.244079194765185
66.66666666666667,1.2469743002044926
67.67676767676768,1.2500293191424454
68.68686868686869,1.253243787731999
69.6969696969697,1.2566172421261093
70.70707070707071,1.260149218477731
71.71717171717172,1.2638392529398197
72.72727272727273,1.2676868816653313
73.73737373737374,1.2716916408072207
74.74747474747475,1.275853066518444
75.75757575757576,1.280170694951956
76.76767676767678,1.2846440622607123
77.77777777777779,1.2892727045976686
78.7878787878788,1.2940561581157801
79.7979797979798,1.2989939589680022
80.80808080808082,1.304085020087159
81.81818181818183,1.309323648419788
82.82828282828284,1.3147020864957424
83.83838383838385,1.3202125671070588
84.84848484848486,1.3258473230457748
85.85858585858587,1.3315985871039282
86.86868686868688,1.3374585920735564
87.87878787878789,1.3434195707466972
88.8888888888889,1.3494737559153873
89.89898989898991,1.3556133803716655
90.90909090909092,1.3618306769075676
91.91919191919193,1.3681178783151329
92.92929292929294,1.3744672173863977
93.93939393939395,1.3808709269134
94.94949494949496,1.3873212396881773
95.95959595959597,1.393810388502767
96.96969696969697,1.4003306061492065
97.97979797979798,1.4068741254195334
98.98989898989899,1.4134331791057855
100.0,1.42
